Player,FG%,3P,eFG%,FT%,TRB,AST,STL,BLK,TOV,PS/G
Josh Gray\grayjo01,.268,0.6,.305,.636,2.0,2.4,1.6,0.4,1.4,6.4
Danny Green\greenda02,.392,1.7,.498,.789,3.7,1.6,0.9,1.2,1.1,8.8
Draymond Green\greendr01,.453,1.1,.515,.776,7.8,7.4,1.4,1.3,2.8,11.1
Gerald Green\greenge01,.401,2.6,.533,.830,3.2,0.6,0.6,0.4,0.6,11.6
JaMychal Green\greenja01,.457,0.8,.501,.721,8.4,1.4,0.6,0.5,1.4,10.3
Jeff Green\greenje02,.465,0.6,.504,.862,3.2,1.3,0.5,0.4,1.0,10.5
Blake Griffin\griffbl01,.438,1.9,.493,.785,7.4,5.8,0.7,0.3,2.8,21.4
Blake Griffin\griffbl01,.441,1.9,.497,.785,7.9,5.4,0.9,0.3,3.0,22.6
Blake Griffin\griffbl01,.433,1.9,.489,.784,6.6,6.2,0.4,0.4,2.6,19.8
Daniel Hamilton\hamilda02,.455,0.4,.545,,1.0,1.4,0.2,0.0,0.4,2.4
Tim Hardaway\hardati02,.420,2.3,.494,.819,3.9,2.7,1.1,0.2,1.6,17.5
James Harden\hardeja01,.449,3.7,.540,.861,5.4,8.8,1.8,0.7,4.3,30.7
Maurice Harkless\harklma01,.495,0.8,.577,.712,2.7,0.9,0.8,0.7,0.7,6.5
Montrezl Harrell\harremo01,.641,0.0,.642,.644,4.0,0.9,0.4,0.7,0.9,10.8
Devin Harris\harride01,.410,1.1,.494,.840,1.8,2.1,0.7,0.2,1.1,8.3
Devin Harris\harride01,.415,1.0,.493,.830,1.9,1.9,0.8,0.2,1.1,8.5
Devin Harris\harride01,.400,1.2,.496,.863,1.6,2.5,0.6,0.2,1.1,8.0
Gary Harris\harriga01,.486,2.4,.573,.827,2.7,3.0,1.8,0.2,1.8,17.7
Joe Harris\harrijo01,.485,1.9,.603,.824,3.3,1.5,0.4,0.2,1.2,10.7
Tobias Harris\harrito02,.463,2.3,.540,.826,5.4,2.4,0.9,0.4,1.3,18.8
Tobias Harris\harrito02,.451,2.4,.531,.846,5.1,2.0,0.7,0.3,1.1,18.1
Tobias Harris\harrito02,.482,2.3,.554,.789,6.1,3.1,1.2,0.7,1.6,19.9
Aaron Harrison\harriaa01,.229,0.5,.271,.818,2.7,1.3,1.0,0.3,0.3,4.7
Andrew Harrison\harrian01,.422,0.8,.477,.780,2.3,3.2,0.7,0.5,1.4,9.5
Shaquille Harrison\harrish01,.463,0.3,.489,.727,2.6,1.7,1.1,0.4,0.8,5.9
Josh Hart\hartjo01,.461,1.1,.565,.671,3.9,1.2,0.7,0.2,0.6,6.8
Udonis Haslem\hasleud01,.214,0.1,.250,,0.7,0.4,0.0,0.2,0.2,0.5
Nigel Hayes\hayesni01,.278,0.5,.361,.333,0.8,0.8,0.0,0.2,0.3,2.3
